Ticker,Name,ISIN
,5TH PLANET GAMES,DK0060945467
,74SOFTWARE,FR0011040500
,A.B.P. NOCIVELLI,IT0005439861
,AASEN SPAREBANK,NO0010672181
,AATECH,IT0005548521
,AB SCIENCE,FR0010557264
,ABC ARBITRAGE,FR0004040608
,ABC COMPANY,IT0005466294
,ABEO,FR0013185857
,ABG SUNDAL COLLIER HOLDING,NO0003021909
,ABIONYX PHARMA,FR0012616852
,ABITARE IN,IT0005445280
,ABIVAX,FR0012333284
,ABL Diagnostics,FR001400AHX6
,ABL GROUP ASA,NO0010715394
,ABO GROUP ENVIRONMENT,BE0974278104
,ACCENTIS,BE0003696102
,ACE DIGITAL AS,NO0013531616
,Acheter-Louer.fr,FR0014011O84
,ACINQUE,IT0001382024
,ACOMO N.V.,NL0000313286
,ACQUAZZURRA,IT0005443061
,ACTEOS,FR0000076861
,ACTIA GROUP S.A.,FR0000076655
,ACTIVIUM GROUP,FR0010979377
,ADEC INNOVATIONS,NL0015002K91
,ADEUNIS,FR0013284627
,ADOCIA,FR0011184241
,ADOMOS,FR00140153H3
,ADS MARITIME HOLDING PLC,CY0108052115
,ADUX,FR0012821890
,ADVENTURE,IT0005607715
,ADVICENNE,FR0013296746
,ADVINI,FR0000053043
,AEDES,IT0005349052
,AEFFE,IT0001384590
,AELIS FARMA,FR0014007ZB4
,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA,IT0001006128
,AF GRUPPEN,NO0003078107
,AFYREN,FR0014005AC9
,AG3I,FR0011908045
,AGFA-GEVAERT,BE0003755692
,AGILYX ASA,NO0010872468
,AGRIPOWER,FR0013452281
,AgroGeneration,FR0010641449
,AJAX,NL0000018034
,AKASTOR,NO0010215684
,AKER BIOMARINE ASA,NO0010886625
,AKER HORIZONS ASA,NO0010921232
,AKER SOLUTIONS,NO0010716582
,AKOBO MINERALS AB (PUB),SE0015193412
,AKVA GROUP,NO0003097503
,AKWEL,FR0000053027
,ALAN ALLMAN ASSOCIATES,FR0000062465
,ALERION,IT0004720733
,ALFEN,NL0012817175
,ALFIO BARDOLLA,IT0005244030
,ALFONSINO,IT0005466039
,ALLCORE,IT0005461303
,Almunda Professional N.V.,NL0010696704
,ALPES (COMPAGNIE),FR0000053324
,ALTAMIR,FR0000053837
,ALTAREIT,FR0000039216
,ALTEA GREEN POWER,IT0005472730
,ALTHEORA,FR0000061244
,ALTRI SGPS,PTALT0AE0002
,ALUMEXX N.V.,NL0012194724
,ALVEEN,FR0013253812
,AMATHEON AGRI HOLDING N.V.,NL0010273694
,AMBROMOBILIARE,IT0004779515
,AMG Critical Materials N.V.,NL0000888691
,AMOEBA,FR0011051598
,ANDFJORD SALMON GROUP AS,NO0010829765
,"ANDINO INVERSIONES GLOBAL, S.A.",ES0105744009
,ANIMA HOLDING,IT0004998065
,ANTARES VISION,IT0005366601
,ANTIN INFRA PARTN,FR0014005AL0
,APERAM,LU0569974404
,APPEAR ASA,NO0013683821
,AQUA BIO TECHNOLOGY,NO0010307135
,AQUAFIL,IT0005241192
,AQUILA,FR0010340711
,ARAMIS GROUP,FR0014003U94
,ARCHOS,FR001400KO61
,ARCTIC BIOSCIENCE AS,NO0010859580
,ARCTIC FISH HOLDING AS,NO0010917719
,ARCTICZYMES TECHNOLOGIES,NO0010014632
,ARCURE,FR0013398997
,ARDOIN ST AMAND A,FR0005057635
