Effective Date,Local Code,Name (English),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series),Ticker
20260228,130A,Veritas In Silico Inc.,Growth Market(Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL,-,-,130A.T
20260228,135A,"VRAIN Solution,Inc.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,135A.T
20260228,1376,"KANEKO SEEDS CO.,LTD.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,7,TOPIX Small 2,1376.T
20260228,137A,"Cocolive,Inc.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,137A.T
20260228,1380,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,-,1380.T
20260228,1381,"AXYZ CO.,Ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,-,1381.T
20260228,1382,"HOB Co.,Ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,-,1382.T
20260228,1383,"Berg Earth co.,ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,-,1383.T
20260228,1384,"Hokuryo Co.,Ltd.",Standard Market(Domestic),50,"Fishery, Agriculture and Forestry",1,FOODS,-,-,1384.T
20260228,138A,"Hikari Food Service Co.,Ltd.",Growth Market(Domestic),6100,Retail Trade,14,RETAIL TRADE,-,-,138A.T
20260228,1401,"mbs,inc.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1401.T
20260228,1407,West Holdings Corporation,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1407.T
20260228,1418,"INTERLIFE HOLDINGS CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1418.T
20260228,141A,"TRIAL Holdings,Inc.",Growth Market(Domestic),6100,Retail Trade,14,RETAIL TRADE,-,-,141A.T
20260228,1420,Sanyo Homes Corporation,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1420.T
20260228,142A,"JINJIB Co.,Ltd.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,142A.T
20260228,1430,First-corporation Inc.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1430.T
20260228,1431,"Lib Work Co.,Ltd.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1431.T
20260228,1434,"JESCO Holdings,Inc.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1434.T
20260228,1435,robot home Inc.,Standard Market(Domestic),8050,Real Estate,17,REAL ESTATE,7,TOPIX Small 2,1435.T
20260228,1436,GreenEnergy & Company Inc.,Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1436.T
20260228,1438,"Gifu landscape architect Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1438.T
20260228,143A,"Ishin Co.,Ltd.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,143A.T
20260228,1443,"Giken Holdings Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1443.T
20260228,1444,"Nissou Co.,Ltd.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1444.T
20260228,1446,"CANDEAL Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1446.T
20260228,1447,"SAAF Holdings Co.,Ltd.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1447.T
20260228,1450,TANAKEN Inc.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1450.T
20260228,145A,L is B Corp.,Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,145A.T
20260228,146A,Columbia Works Inc.,Standard Market(Domestic),8050,Real Estate,17,REAL ESTATE,-,-,146A.T
20260228,147A,"SORACOM,INC.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,147A.T
20260228,148A,"HATCH WORK CO.,LTD.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,148A.T
20260228,1491,"Chugai Mining Co.,Ltd.",Standard Market(Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS,-,-,1491.T
20260228,149A,"Thinca Co.,Ltd.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,149A.T
20260228,150A,"JSH Co.,Ltd.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,150A.T
20260228,1514,"Sumiseki Holdings,Inc.",Standard Market(Domestic),1050,Mining,2,ENERGY RESOURCES,7,TOPIX Small 2,1514.T
20260228,151A,Dive Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,151A.T
20260228,153A,Caulis Inc.,Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,153A.T
20260228,155A,"Information Strategy and Technology Co.,Ltd.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,155A.T
20260228,156A,Material Group Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,156A.T
20260228,157A,Green Monster Inc.,Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,157A.T
20260228,160A,"As Partners CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,160A.T
20260228,166A,TASUKI Holdings Inc.,Growth Market(Domestic),8050,Real Estate,17,REAL ESTATE,-,-,166A.T
20260228,168A,itamiarts inc.,Growth Market(Domestic),3800,Other Products,10,"IT & SERVICES, OTHERS",-,-,168A.T
20260228,1711,"SDS HOLDINGS Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1711.T
20260228,1716,DAI-ICHI CUTTER KOGYO K.K.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,1716.T
20260228,1717,Meiho Facility Works Ltd.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,-,1717.T
20260228,1718,"MIKIKOGYO CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1718.T
20260228,1723,"NIHON DENGI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1723.T
20260228,1724,SYNCLAYER INC.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1724.T
20260228,1736,OTEC CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1736.T
20260228,173A,Hammock Inc.,Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,173A.T
20260228,1758,"Taiyo Kisokogyo Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1758.T
20260228,175A,"Will Smart Co.,LTD.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,175A.T
20260228,1764,KUDO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1764.T
20260228,1768,SONEC CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1768.T
20260228,1770,"FUJITA ENGINEERING CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1770.T
20260228,1776,"SUMIKEN MITSUI ROAD CO., LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1776.T
20260228,177A,"Kohjin Bio Co.,Ltd.",Growth Market(Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS,-,-,177A.T
20260228,1783,"Fantasista Co.,Ltd.",Standard Market(Domestic),8050,Real Estate,17,REAL ESTATE,-,-,1783.T
20260228,1787,"Nakabohtec Corrosion Protecting Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1787.T
20260228,1788,SANTO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1788.T
20260228,1793,"OHMOTO GUMI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1793.T
20260228,1795,MASARU CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1795.T
20260228,1798,MORIYA CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1798.T
20260228,1799,DAIICHI KENSETSU CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1799.T
20260228,1807,"WATANABE SATO CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1807.T
20260228,1810,"MATSUI CONSTRUCTION CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,1810.T
20260228,1811,THE ZENITAKA CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1811.T
20260228,1822,DAIHO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,1822.T
20260228,1826,"Sata Construction Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1826.T
20260228,1827,NAKANO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1827.T
20260228,1828,TANABE ENGINEERING CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1828.T
20260228,1840,"TSUCHIYA HOLDINGS CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1840.T
20260228,1841,"SANYU CONSTRUCTION CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1841.T
20260228,1844,"OHMORI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1844.T
20260228,1847,"ICHIKEN Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1847.T
20260228,1848,FUJI P.S CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1848.T
20260228,184A,"Manabi-aid Co.,Ltd.",Growth Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,-,184A.T
20260228,1850,"Nankai Tatsumura Construction Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1850.T
20260228,1853,"Mori-Gumi Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,-,1853.T
